Price,Close,High,Low,Open,Volume
Ticker,^MOVE,^MOVE,^MOVE,^MOVE,^MOVE
Date,,,,,
2020-07-01,53.279998779296875,54.130001068115234,53.279998779296875,54.130001068115234,0
2020-07-02,50.959999084472656,53.279998779296875,50.959999084472656,53.279998779296875,0
2020-07-06,52.029998779296875,52.029998779296875,50.959999084472656,50.959999084472656,0
2020-07-07,50.97999954223633,52.029998779296875,50.97999954223633,52.029998779296875,0
2020-07-08,49.79999923706055,50.97999954223633,49.79999923706055,50.97999954223633,0
2020-07-09,50.06999969482422,50.06999969482422,49.79999923706055,49.79999923706055,0
2020-07-10,49.189998626708984,50.06999969482422,49.189998626708984,50.06999969482422,0
2020-07-13,49.54999923706055,49.54999923706055,49.189998626708984,49.189998626708984,0
2020-07-14,50.810001373291016,50.810001373291016,49.54999923706055,49.54999923706055,0
2020-07-15,47.08000183105469,50.810001373291016,47.08000183105469,50.810001373291016,0
2020-07-16,46.43000030517578,47.08000183105469,46.43000030517578,47.08000183105469,0
2020-07-17,45.68000030517578,45.68000030517578,45.68000030517578,45.68000030517578,0
2020-07-20,46.81999969482422,46.81999969482422,45.68000030517578,45.68000030517578,0
2020-07-21,46.45000076293945,46.81999969482422,46.45000076293945,46.81999969482422,0
2020-07-22,45.31999969482422,46.45000076293945,45.31999969482422,46.45000076293945,0
2020-07-23,43.93000030517578,45.31999969482422,43.93000030517578,45.31999969482422,0
2020-07-24,42.47999954223633,43.93000030517578,42.47999954223633,43.93000030517578,0
2020-07-27,42.61000061035156,42.61000061035156,42.61000061035156,42.61000061035156,0
2020-07-28,41.27000045776367,41.27000045776367,41.27000045776367,41.27000045776367,0
2020-07-29,41.630001068115234,41.630001068115234,41.630001068115234,41.630001068115234,0
2020-07-30,40.65999984741211,41.630001068115234,40.65999984741211,41.630001068115234,0
2020-07-31,41.97999954223633,41.97999954223633,41.97999954223633,41.97999954223633,0
2020-08-03,43.130001068115234,43.130001068115234,43.130001068115234,43.130001068115234,0
2020-08-04,44.11000061035156,44.11000061035156,44.11000061035156,44.11000061035156,0
2020-08-05,41.75,41.75,41.75,41.75,0
2020-08-06,42.599998474121094,42.599998474121094,42.599998474121094,42.599998474121094,0
2020-08-07,41.459999084472656,41.459999084472656,41.459999084472656,41.459999084472656,0
2020-08-10,42.209999084472656,42.209999084472656,42.209999084472656,42.209999084472656,0
2020-08-11,45.2599983215332,45.2599983215332,45.2599983215332,45.2599983215332,0
2020-08-12,44.22999954223633,44.22999954223633,44.22999954223633,44.22999954223633,0
2020-08-13,45.08000183105469,45.08000183105469,45.08000183105469,45.08000183105469,0
2020-08-14,43.09000015258789,43.09000015258789,43.09000015258789,43.09000015258789,0
2020-08-17,45.810001373291016,45.810001373291016,43.09000015258789,43.09000015258789,0
2020-08-18,46.060001373291016,46.060001373291016,45.810001373291016,45.810001373291016,0
2020-08-19,44.599998474121094,46.060001373291016,44.599998474121094,46.060001373291016,0
2020-08-20,44.58000183105469,44.599998474121094,44.58000183105469,44.599998474121094,0
2020-08-21,45.13999938964844,45.13999938964844,44.58000183105469,44.58000183105469,0
2020-08-24,46.33000183105469,46.33000183105469,45.13999938964844,45.13999938964844,0
2020-08-25,47.88999938964844,47.88999938964844,46.33000183105469,46.33000183105469,0
2020-08-26,47.9900016784668,47.9900016784668,47.88999938964844,47.88999938964844,0
2020-08-27,49.290000915527344,49.290000915527344,47.9900016784668,47.9900016784668,0
2020-08-28,48.189998626708984,49.290000915527344,48.189998626708984,49.290000915527344,0
2020-08-31,47.02000045776367,48.189998626708984,47.02000045776367,48.189998626708984,0
2020-09-01,44.29999923706055,47.02000045776367,44.29999923706055,47.02000045776367,0
2020-09-02,44.86000061035156,44.86000061035156,44.29999923706055,44.29999923706055,0
2020-09-03,45.7599983215332,45.7599983215332,44.86000061035156,44.86000061035156,0
2020-09-04,47.040000915527344,47.040000915527344,45.7599983215332,45.7599983215332,0
2020-09-08,50.68000030517578,50.68000030517578,47.040000915527344,47.040000915527344,0
2020-09-09,48.81999969482422,50.68000030517578,48.81999969482422,50.68000030517578,0
2020-09-10,45.209999084472656,48.81999969482422,45.209999084472656,48.81999969482422,0
2020-09-11,43.119998931884766,45.209999084472656,43.119998931884766,45.209999084472656,0
2020-09-14,44.209999084472656,44.209999084472656,43.119998931884766,43.119998931884766,0
2020-09-15,43.060001373291016,44.209999084472656,43.060001373291016,44.209999084472656,0
2020-09-16,42.43000030517578,43.060001373291016,42.43000030517578,43.060001373291016,0
2020-09-17,38.45000076293945,42.43000030517578,38.45000076293945,42.43000030517578,0
2020-09-18,37.2400016784668,38.45000076293945,37.2400016784668,38.45000076293945,0
2020-09-21,38.630001068115234,38.630001068115234,37.2400016784668,37.2400016784668,0
2020-09-22,39.349998474121094,39.349998474121094,38.630001068115234,38.630001068115234,0
2020-09-23,38.630001068115234,39.349998474121094,38.630001068115234,39.349998474121094,0
2020-09-24,37.220001220703125,38.630001068115234,37.220001220703125,38.630001068115234,0
2020-09-25,36.970001220703125,37.220001220703125,36.970001220703125,37.220001220703125,0
2020-09-28,37.400001525878906,37.400001525878906,36.970001220703125,36.970001220703125,0
2020-09-29,36.619998931884766,37.400001525878906,36.619998931884766,37.400001525878906,0
2020-09-30,39.209999084472656,39.209999084472656,36.619998931884766,36.619998931884766,0
2020-10-01,38.650001525878906,39.209999084472656,38.650001525878906,39.209999084472656,0
2020-10-02,39.970001220703125,39.970001220703125,38.650001525878906,38.650001525878906,0
2020-10-05,39.810001373291016,39.970001220703125,39.810001373291016,39.970001220703125,0
2020-10-06,57.75,57.75,39.810001373291016,39.810001373291016,0
2020-10-07,56.97999954223633,57.75,56.97999954223633,57.75,0
2020-10-08,57.310001373291016,57.310001373291016,56.97999954223633,56.97999954223633,0
2020-10-09,57.52000045776367,57.52000045776367,57.310001373291016,57.310001373291016,0
2020-10-13,55.59000015258789,57.52000045776367,55.59000015258789,57.52000045776367,0
2020-10-14,53.5,55.59000015258789,53.5,55.59000015258789,0
2020-10-15,55.619998931884766,55.619998931884766,53.5,53.5,0
2020-10-16,57.25,57.25,55.619998931884766,55.619998931884766,0
2020-10-19,61.15999984741211,61.15999984741211,57.25,57.25,0
2020-10-20,60.41999816894531,61.15999984741211,60.41999816894531,61.15999984741211,0
2020-10-21,59.06999969482422,60.41999816894531,59.06999969482422,60.41999816894531,0
2020-10-22,59.72999954223633,59.72999954223633,59.06999969482422,59.06999969482422,0
2020-10-23,58.459999084472656,59.72999954223633,58.459999084472656,59.72999954223633,0
2020-10-26,58.95000076293945,58.95000076293945,58.459999084472656,58.459999084472656,0
2020-10-27,57.880001068115234,58.95000076293945,57.880001068115234,58.95000076293945,0
2020-10-28,57.130001068115234,57.880001068115234,57.130001068115234,57.880001068115234,0
2020-10-29,61.29999923706055,61.29999923706055,57.130001068115234,57.130001068115234,0
2020-10-30,61.90999984741211,61.90999984741211,61.29999923706055,61.29999923706055,0
2020-11-02,63.560001373291016,63.560001373291016,61.90999984741211,61.90999984741211,0
2020-11-03,64.37000274658203,64.37000274658203,63.560001373291016,63.560001373291016,0
2020-11-04,47.7400016784668,64.37000274658203,47.7400016784668,64.37000274658203,0
2020-11-05,43.7599983215332,47.7400016784668,43.7599983215332,47.7400016784668,0
2020-11-06,39.880001068115234,43.7599983215332,39.880001068115234,43.7599983215332,0
2020-11-09,44.939998626708984,44.939998626708984,39.880001068115234,39.880001068115234,0
2020-11-10,46.189998626708984,46.189998626708984,44.939998626708984,44.939998626708984,0
2020-11-12,44.16999816894531,46.189998626708984,44.16999816894531,46.189998626708984,0
2020-11-13,42.95000076293945,44.16999816894531,42.95000076293945,44.16999816894531,0
2020-11-16,42.4900016784668,42.95000076293945,42.4900016784668,42.95000076293945,0
2020-11-17,43.08000183105469,43.08000183105469,42.4900016784668,42.4900016784668,0
2020-11-18,43.619998931884766,43.619998931884766,43.08000183105469,43.08000183105469,0
2020-11-19,43.529998779296875,43.619998931884766,43.529998779296875,43.619998931884766,0
2020-11-20,42.310001373291016,43.529998779296875,42.310001373291016,43.529998779296875,0
2020-11-23,43.040000915527344,43.040000915527344,42.310001373291016,42.310001373291016,0
2020-11-24,42.380001068115234,43.040000915527344,42.380001068115234,43.040000915527344,0
2020-11-25,39.619998931884766,42.380001068115234,39.619998931884766,42.380001068115234,0
2020-11-27,39.63999938964844,39.63999938964844,39.619998931884766,39.619998931884766,0
2020-11-30,40.84000015258789,40.84000015258789,39.63999938964844,39.63999938964844,0
2020-12-01,41.529998779296875,41.529998779296875,40.84000015258789,40.84000015258789,0
2020-12-02,43.91999816894531,43.91999816894531,41.529998779296875,41.529998779296875,0
2020-12-03,42.529998779296875,43.91999816894531,42.529998779296875,43.91999816894531,0
2020-12-04,43.88999938964844,43.88999938964844,42.529998779296875,42.529998779296875,0
2020-12-07,49.66999816894531,49.66999816894531,43.88999938964844,43.88999938964844,0
2020-12-08,49.099998474121094,49.66999816894531,49.099998474121094,49.66999816894531,0
2020-12-09,48.47999954223633,49.099998474121094,48.47999954223633,49.099998474121094,0
2020-12-10,47.150001525878906,48.47999954223633,47.150001525878906,48.47999954223633,0
2020-12-11,47.52000045776367,47.52000045776367,47.150001525878906,47.150001525878906,0
2020-12-14,49.220001220703125,49.220001220703125,47.52000045776367,47.52000045776367,0
2020-12-15,48.13999938964844,49.220001220703125,48.13999938964844,49.220001220703125,0
2020-12-16,46.959999084472656,48.13999938964844,46.959999084472656,48.13999938964844,0
2020-12-17,44.150001525878906,46.959999084472656,44.150001525878906,46.959999084472656,0
2020-12-18,44.63999938964844,44.63999938964844,44.150001525878906,44.150001525878906,0
2020-12-21,46.65999984741211,46.65999984741211,44.63999938964844,44.63999938964844,0
2020-12-22,43.56999969482422,46.65999984741211,43.56999969482422,46.65999984741211,0
2020-12-23,42.7400016784668,43.56999969482422,42.7400016784668,43.56999969482422,0
2020-12-24,42.11000061035156,42.7400016784668,42.11000061035156,42.7400016784668,0
2020-12-28,45.2599983215332,45.2599983215332,42.11000061035156,42.11000061035156,0
2020-12-29,46.099998474121094,46.099998474121094,45.2599983215332,45.2599983215332,0
2020-12-30,47.189998626708984,47.189998626708984,46.099998474121094,46.099998474121094,0
2020-12-31,48.97999954223633,48.97999954223633,47.189998626708984,47.189998626708984,0
2021-01-04,49.59000015258789,49.59000015258789,48.97999954223633,48.97999954223633,0
2021-01-05,48.95000076293945,49.59000015258789,48.95000076293945,49.59000015258789,0
2021-01-06,44.63999938964844,48.95000076293945,44.63999938964844,48.95000076293945,0
2021-01-07,45.20000076293945,45.20000076293945,44.63999938964844,44.63999938964844,0
2021-01-08,44.810001373291016,45.20000076293945,44.810001373291016,45.20000076293945,0
2021-01-11,47.77000045776367,47.77000045776367,44.810001373291016,44.810001373291016,0
2021-01-12,50.119998931884766,50.119998931884766,47.77000045776367,47.77000045776367,0
2021-01-13,45.599998474121094,50.119998931884766,45.599998474121094,50.119998931884766,0
2021-01-14,46.22999954223633,46.22999954223633,45.599998474121094,45.599998474121094,0
2021-01-15,45.13999938964844,46.22999954223633,45.13999938964844,46.22999954223633,0
2021-01-19,45.22999954223633,45.22999954223633,45.13999938964844,45.13999938964844,0
2021-01-20,42.529998779296875,45.22999954223633,42.529998779296875,45.22999954223633,0
2021-01-21,43.0099983215332,43.0099983215332,42.529998779296875,42.529998779296875,0
2021-01-22,43.09000015258789,43.09000015258789,43.0099983215332,43.0099983215332,0
2021-01-25,43.08000183105469,43.09000015258789,43.08000183105469,43.09000015258789,0
2021-01-26,43.13999938964844,43.13999938964844,43.08000183105469,43.08000183105469,0
2021-01-27,44.15999984741211,44.15999984741211,43.13999938964844,43.13999938964844,0
2021-01-28,45.529998779296875,45.529998779296875,44.15999984741211,44.15999984741211,0
2021-01-29,47.40999984741211,47.40999984741211,45.529998779296875,45.529998779296875,0
2021-02-01,46.279998779296875,47.40999984741211,46.279998779296875,47.40999984741211,0
